prod,sex,dex,lex,quit,job_tenure,status
13.73,0,38,10,0,277,1
17.15,1,55,11,1,173,1
13.63,1,45,12,0,410,1
13.04,1,41,11,0,247,1
13.2,1,42,10,0,340,1
16.43,0,38,12,0,517,1
13.7,1,39,13,0,194,1
14.88,1,51,12,0,346,1
15.19,1,39,12,1,139,1
13.36,1,26,13,1,78,1
16.68,0,55,12,0,387,0
14.84,1,45,12,0,469,1
14.74,0,35,12,0,217,1
12.95,1,35,13,1,38,1
12.79,1,36,11,0,382,1
12,1,40,12,0,393,1
15.31,0,38,12,0,479,1
15.66,0,49,12,0,229,1
16.12,0,54,11,0,928,1
13.98,1,34,12,0,284,1
15.58,1,51,13,0,346,1
18.6,1,58,12,0,573,0
11.58,0,23,14,1,138,1
13.88,1,36,14,0,329,1
13.84,1,40,14,0,504,1
15.46,0,45,12,0,309,0
14.31,1,51,12,0,920,1
13.87,1,47,16,0,568,1
13.51,0,38,16,0,273,1
13.15,1,34,12,1,77,1
14.94,0,54,14,1,164,1
17.26,0,51,12,0,272,1
15.31,0,45,12,1,54,1
17.69,0,46,11,0,402,1
15.63,1,61,12,1,173,1
13.44,1,57,19,1,103,1
17.81,1,57,12,0,956,0
15.5,1,48,11,1,95,1
14.58,0,50,12,0,327,1
14.94,1,49,12,0,638,1
16.28,1,61,11,0,698,1
16.17,0,43,12,0,638,0
14.13,1,46,12,0,754,1
12.64,1,44,12,0,350,1
12.5,0,38,12,0,470,1
14.87,0,51,11,0,334,1
14.53,1,43,11,1,56,1
13.28,1,51,11,0,200,1
15.13,1,46,12,0,546,1
15.74,1,40,12,0,385,1
13.99,1,46,14,0,237,1
14.53,1,52,12,0,551,0
13.46,1,46,12,0,359,1
15.84,0,52,16,0,413,1
13.8,1,52,12,0,502,1
13.3,1,39,12,1,68,1
12.7,1,39,14,1,60,1
13.86,0,40,12,0,253,1
15.37,0,44,13,0,421,0
14.2,1,36,12,0,701,0
16.37,1,62,12,0,960,0
12.98,1,39,13,0,326,1
15.82,1,45,14,0,216,1
15.26,0,50,13,0,672,1
13.03,1,37,14,0,286,1
15.33,1,53,13,0,566,1
14.71,1,39,12,0,203,1
12.22,1,50,13,0,626,0
17.11,1,51,12,0,580,1
14.75,0,57,14,0,229,1
14.47,0,54,9,0,671,1
17.06,0,51,13,0,685,1
14.72,1,46,12,0,246,1
16.16,1,53,12,0,276,1
13.96,1,59,12,0,365,0
16.02,1,63,14,0,582,0
13.56,1,52,12,0,418,1
12.56,0,56,12,0,1197,0
13.59,1,39,12,0,381,1
15.77,1,47,12,0,255,1
14.58,1,48,12,0,468,1
14.46,0,57,11,0,667,0
14.52,1,60,12,0,356,1
12.81,1,39,12,1,115,1
15.56,0,45,12,1,169,1
14.74,0,35,12,1,158,1
15.06,1,57,12,0,2403,0
13.23,1,38,14,1,118,1
13.45,0,42,12,1,85,1
13.87,1,49,12,1,177,1
14.87,1,49,12,0,552,1
16.6,1,59,14,0,2063,0
15.37,1,49,12,0,354,1
14.01,0,38,12,1,152,1
14.22,1,35,10,0,295,1
16.41,0,45,12,0,237,0
14.03,1,51,16,1,175,1
14.6,1,49,12,0,539,1
13.77,0,43,12,0,209,1
14.06,1,40,14,0,444,0
15.57,0,56,12,0,494,0
15.85,0,44,12,0,227,1
15.68,0,45,15,0,355,0
13.9,0,49,13,0,183,1
14.29,0,44,12,0,987,1
14.61,1,58,12,0,750,0
15.35,1,50,12,0,553,0
15.44,1,52,11,1,66,1
14.77,1,34,12,0,194,1
15.39,0,40,12,1,94,1
14.78,0,42,12,0,679,0
14.17,1,36,9,1,63,1
15.27,1,58,12,1,162,1
12.4,1,47,11,0,275,1
14.1,1,34,12,1,104,1
12.17,1,40,13,0,273,1
16.06,0,47,12,0,1412,1
16.55,0,40,8,1,42,1
14.38,0,51,13,0,375,1
14.59,1,44,11,0,283,1
15.67,1,49,10,0,406,1
14.15,1,35,12,1,132,1
15.93,0,48,11,0,382,1
16.11,1,44,12,0,272,1
14.04,1,59,13,1,166,1
15.76,0,44,13,0,977,1
14.51,0,43,12,0,1219,0
17,0,41,12,1,103,1
16.27,0,50,12,1,174,1
13.27,1,42,12,1,105,1
12.27,1,37,12,0,377,1
16.73,0,48,13,0,1618,1
15.51,1,57,14,0,634,1
15.66,1,64,10,0,1053,0
14.71,1,47,12,0,408,0
13.33,1,31,12,1,165,1
14.11,1,47,12,0,470,1
17.24,0,47,12,0,374,1
15.89,0,43,12,0,252,1
17.33,1,46,12,0,353,1
15.63,0,43,12,0,195,1
17.5,0,47,12,0,485,1
14.3,1,40,12,1,123,1
13.64,1,42,12,0,351,1
15.1,1,58,13,0,1482,0
13.84,1,52,12,0,357,1
13.08,1,38,15,1,60,1
14.9,1,46,12,0,650,0
12.83,1,41,17,1,170,1
14.64,1,50,12,0,1040,0
13.75,1,50,12,0,749,1
15.99,0,44,13,0,255,1
12.65,1,38,15,0,216,1
12.17,1,38,12,1,132,1
15.81,0,42,12,0,216,1
16.52,1,47,12,0,390,1
14.84,0,38,12,0,543,1
18.23,0,57,14,0,1012,1
16.51,0,48,13,0,863,0
16.12,1,55,13,0,394,1
14.1,1,41,12,1,142,1
16.77,1,53,12,0,326,1
13.06,1,40,12,0,235,1
14.34,0,43,12,0,238,1
16.83,1,60,11,0,305,1
15.29,0,48,12,0,297,0
16.08,1,56,12,1,157,1
11.48,1,42,12,0,220,1
14.38,0,42,13,0,602,1
15.49,0,50,12,1,177,1
15,1,53,12,0,200,1
12.84,0,46,12,0,452,1
16.72,0,58,11,0,557,1
15.96,1,45,10,1,64,1
14.3,1,42,12,0,337,1
15.92,0,39,13,0,357,1
12.78,0,41,12,0,321,1
13.54,1,45,12,0,341,1
13.55,1,51,11,1,91,1
14.71,0,47,12,1,173,1
14,1,41,12,1,94,1
13.38,0,31,9,1,121,1
16.26,1,49,12,0,302,1
16.22,1,52,12,0,431,1
15.37,1,50,12,1,131,1
15.58,0,52,11,0,1248,0
14.47,0,40,12,0,566,1
13.01,1,50,11,0,407,1
16.14,1,55,12,0,645,1
14.19,0,37,13,0,193,1
12.04,1,48,9,0,346,1
15.01,0,52,12,0,462,1
14.46,0,50,12,0,431,1
15.19,1,50,12,0,633,1
17.33,1,56,12,0,690,1
19.13,0,60,12,0,1355,0
14.98,1,39,12,1,173,1
15.74,1,51,12,0,252,1
14.99,0,35,12,0,834,1
15.72,0,41,12,0,195,1
16.67,1,52,12,0,1236,0
14.41,1,58,12,0,932,1
12.97,1,35,13,0,414,1
15.88,0,48,12,0,319,1
16,0,51,12,0,514,1
12.42,1,48,12,0,364,0
12.23,1,37,12,0,400,1
14.79,1,49,12,0,528,1
13.13,1,53,10,0,1756,0
12.26,1,37,14,1,128,1
13.42,1,34,12,1,131,1
16.93,0,56,12,0,355,1
13.65,1,44,12,0,495,1
13.15,1,42,11,0,237,0
14.58,0,43,11,0,607,0
13.33,0,34,11,1,54,1
16.16,0,44,12,0,354,1
12.83,1,34,11,0,192,1
16.59,0,48,12,0,1812,1
16.6,1,57,12,0,651,1
15.82,1,46,13,0,300,1
14.07,1,43,13,0,243,1
14.4,1,48,12,0,371,0
15.79,1,52,12,0,388,1
12.7,1,39,12,0,197,1
15.25,1,51,12,0,186,1
11.44,1,34,16,1,165,1
14.54,1,49,12,0,198,1
12.5,1,44,12,0,354,1
14.89,0,53,12,0,575,1
14.21,1,44,12,1,176,1
12.74,1,47,12,0,555,0
13.93,1,42,13,0,530,1
14.14,1,45,12,0,293,0
15.29,1,43,12,1,97,1
14.24,1,49,14,0,367,1
16.73,0,36,12,0,262,1
13.96,0,35,12,0,270,1
16.21,1,47,12,0,221,1
13.46,0,41,10,0,486,1
13.95,1,50,14,0,684,1
13.67,1,40,13,0,306,1
16.31,0,41,10,0,375,1
17,1,59,12,0,795,0
12.95,1,43,15,1,182,1
13.41,1,46,13,1,111,1
12.95,1,40,12,0,163,0
15.55,1,52,12,0,456,1
13.65,0,48,12,0,584,1
14.98,0,51,12,0,779,0
11.34,1,37,14,0,325,1
18.07,1,50,12,0,386,1
16.63,0,52,11,0,2626,0
12.41,0,39,12,0,490,1
17.01,0,39,12,0,462,1
15.14,0,40,12,1,174,1
16.87,0,56,14,0,887,1
15.22,1,44,12,0,254,0
14.49,1,61,12,0,530,0
15.93,0,45,12,0,418,1
18.36,0,57,12,0,804,0
13.88,1,46,12,0,370,1
18.77,0,48,11,0,417,1
11.59,0,34,12,0,370,1
12.41,1,40,12,0,585,0
15.44,1,54,12,0,581,1
14.8,0,47,12,0,443,1
14.64,1,42,10,0,267,1
14.92,1,42,9,0,216,1
15.58,1,58,12,0,467,0
16.42,0,49,12,0,504,0
16.47,0,49,12,1,74,1
13.52,1,35,12,1,121,1
15.48,1,54,12,0,224,1
13.68,1,48,12,1,153,1
13.25,1,42,12,0,323,1
15,1,45,12,1,96,1
16.92,0,50,12,0,622,1
12.2,1,36,11,0,339,1
13.84,1,44,12,0,452,1
17.13,1,63,12,0,1661,1
14.27,1,38,12,1,54,1
14.95,1,46,12,1,174,1
14.64,0,37,12,1,133,1
15.19,0,53,12,0,781,1
13.92,1,46,12,0,266,1
14.59,0,44,15,0,235,1
12.49,1,42,14,1,82,1
12.1,1,40,12,0,378,1
15.11,1,49,12,0,852,1
14.21,0,55,13,0,735,0
14.08,0,45,14,0,446,1
14.07,1,57,12,1,105,1
